Pixel 1,,Pixel 1 Reverse,
V (V),J (A/cm^2),V (V),J (A/cm^2)
0.99068,0.04625857988165681,-0.14663,-0.0032258579881656807
0.96682,0.03959289940828403,-0.12186,-0.003062544378698225
0.94255,0.03480414201183433,-0.097059,-0.002906804733727811
0.91823,0.03127100591715977,-0.072399,-0.0027506508875739647
0.89377,0.02849940828402367,-0.047555,-0.0026052662721893494
0.86901,0.026351479289940832,-0.022775,-0.0024556804733727815
0.84444,0.02464260355029586,0.0020663,-0.002306923076923077
0.81968,0.023167455621301777,0.026835,-0.002160414201183432
0.79492,0.02182958579881657,0.051623,-0.0020149112426035504
0.77003,0.02069822485207101,0.076402,-0.0018713609467455622
0.74523,0.01953313609467456,0.10121,-0.0017244378698224852
0.72038,0.018366863905325447,0.12606,-0.0015775739644970416
0.69559,0.01718698224852071,0.1508,-0.0014201775147928996
0.6709,0.01602189349112426,0.17554,-0.0012674556213017754
0.64591,0.014735502958579885,0.20037,-0.0011159171597633138
0.62119,0.013515384615384617,0.22495,-0.0009601775147928995
0.59643,0.012055029585798818,0.24981,-0.000807751479289941
0.57159,0.010519526627218936,0.28356,-0.0005941420118343195
0.54687,0.008957396449704143,0.30608,-0.0004516094674556213
0.52202,0.007419526627218935,0.32854,-0.0002991479289940829
0.4899,0.005555798816568048,0.35115,-0.00015644378698224853
0.46704,0.004116331360946746,0.37367,-1.024733727810651e-05
0.44398,0.002921479289940829,0.39593,0.000150301775147929
0.42039,0.0020504733727810653,0.41821,0.00031694674556213023
0.39661,0.0012108875739644971,0.44004,0.0005056863905325444
0.37243,0.0007148520710059173,0.46175,0.0006907692307692308
0.34529,0.00018621893491124262,0.48356,0.0008866863905325445
0.32477,-7.340828402366865e-05,0.50488,0.0010959171597633138
0.30258,-0.0002440295857988166,0.54591,0.0016714792899408287
0.28048,-0.00040192899408284026,0.56996,0.0022497041420118345
0.25784,-0.0005441360946745562,0.59383,0.0029980473372781067
0.23534,-0.0006998224852071006,0.61757,0.003859644970414202
0.21286,-0.0008397041420118344,0.64102,0.004827573964497042
0.17538,-0.0010834911242603553,0.66448,0.00590130177514793
0.15065,-0.0012373964497041422,0.68731,0.007259763313609469
0.12575,-0.0014022485207100593,0.71015,0.008682840236686392
0.10091,-0.0015618343195266274,0.73273,0.010324260355029587
0.076227,-0.0017208875739644972,0.77119,0.013376331360946746
0.051404,-0.001879881656804734,0.79588,0.015783431952662724
0.02667,-0.002034970414201184,0.82033,0.018491715976331362
0.0018837,-0.002198165680473373,0.84486,0.021525443786982252
-0.022962,-0.00235715976331361,0.86924,0.024779881656804736
-0.047696,-0.0025200591715976335,0.89361,0.028379881656804735
-0.072558,-0.0026886390532544382,0.91803,0.03219467455621302
-0.097213,-0.002865562130177515,0.9423,0.03607455621301776
-0.12195,-0.0030389349112426036,0.96664,0.04061656804733728
